customer_id,Recency,No_of_products,Total_profit,r_quartile,f_quartile,m_quartile,RFM_Score,customer_category
1,7,11,3018.0899999999992,4,4,3,443,Diamond Customer
2,128,3,2226.26,1,1,2,112,Silver customer
9,78,6,2353.1099999999997,2,3,2,232,Gold customer
12,67,7,3540.0299999999997,2,3,3,233,Gold customer
13,27,7,4337.38,3,3,4,334,Platunum customer
14,47,3,1713.9,2,1,1,211,Gold customer
15,35,6,1728.39,3,3,1,331,Platunum customer
19,280,2,1736.45,1,1,1,111,Brownz customer
20,31,4,3608.2799999999997,3,1,3,313,Platunum customer
21,6,5,4229.41,4,2,4,424,Diamond Customer
24,17,7,3689.35,4,3,3,433,Diamond Customer
25,5,12,5333.660000000001,4,4,4,444,Diamond Customer
26,259,2,268.2399999999999,1,1,1,111,Brownz customer
27,143,7,3274.250000000001,1,3,3,133,Silver customer
28,83,6,3366.5600000000004,2,3,3,233,Gold customer
29,22,9,6175.299999999999,3,4,4,344,Platunum customer
31,89,4,426.10999999999996,1,1,1,111,Brownz customer
32,138,7,2823.12,1,3,3,133,Silver customer
35,92,4,3706.5099999999998,1,1,3,113,Silver customer
37,7,9,6338.490000000001,4,4,4,444,Diamond Customer
38,50,4,2025.34,2,1,2,212,Gold customer
39,34,12,6085.17,3,4,4,344,Platunum customer
40,14,5,3272.7000000000003,4,2,3,423,Diamond Customer
41,29,9,4698.89,3,4,4,344,Platunum customer
42,111,4,427.04,1,1,1,111,Brownz customer
43,61,9,3619.9500000000003,2,4,3,243,Gold customer
44,35,7,4768.28,3,3,4,334,Platunum customer
45,43,3,1048.1499999999999,3,1,1,311,Platunum customer
47,35,7,4332.1900000000005,3,3,4,334,Platunum customer
50,26,7,4153.41,3,3,4,334,Platunum customer
51,55,8,4855.4,2,4,4,244,Gold customer
53,7,5,2950.07,4,2,3,423,Diamond Customer
54,67,7,4098.21,2,3,4,234,Gold customer
55,46,8,3220.86,2,4,3,243,Gold customer
56,2,7,1275.2399999999998,4,3,1,431,Diamond Customer
58,20,8,3501.37,3,4,3,343,Platunum customer
61,47,6,4254.240000000001,2,3,4,234,Gold customer
63,68,3,2190.05,2,1,2,212,Gold customer
64,3,5,546.6799999999997,4,2,1,421,Diamond Customer
65,136,5,3799.9699999999993,1,2,3,123,Silver customer
66,43,5,4549.200000000001,3,2,4,324,Platunum customer
67,116,5,1203.2899999999997,1,2,1,121,Silver customer
70,4,5,2736.9,4,2,2,422,Diamond Customer
71,131,1,155.6500000000001,1,1,1,111,Brownz customer
72,22,4,2559.7799999999997,3,1,2,312,Platunum customer
75,60,8,4979.94,2,4,4,244,Gold customer
76,1,8,2868.16,4,4,3,443,Diamond Customer
77,101,3,1657.5800000000002,1,1,1,111,Brownz customer
78,211,2,82.25999999999999,1,1,1,111,Brownz customer
79,47,5,1860.29,2,2,2,222,Gold customer
80,28,10,5988.86,3,4,4,344,Platunum customer
82,78,5,2924.37,2,2,3,223,Gold customer
83,80,6,1798.1999999999998,2,3,2,232,Gold customer
86,0,9,2360.09,4,4,2,442,Diamond Customer
87,18,9,3740.7599999999998,4,4,3,443,Diamond Customer
88,74,6,2534.3300000000004,2,3,2,232,Gold customer
89,4,9,5779.65,4,4,4,444,Diamond Customer
90,30,7,2990.73,3,3,3,333,Platunum customer
91,9,8,5242.410000000001,4,4,4,444,Diamond Customer
92,34,3,2967.4399999999996,3,1,3,313,Platunum customer
93,79,3,2976.4099999999994,2,1,3,213,Gold customer
94,33,7,4902.21,3,3,4,334,Platunum customer
95,38,4,3050.8099999999995,3,1,3,313,Platunum customer
96,70,3,1135.25,2,1,1,211,Gold customer
97,102,8,4911.209999999999,1,4,4,144,Silver customer
98,141,4,1620.7500000000002,1,1,1,111,Brownz customer
99,2,9,4557.65,4,4,4,444,Diamond Customer
100,11,2,877.4,4,1,1,411,Diamond Customer
101,8,4,2589.89,4,1,2,412,Diamond Customer
102,42,7,2587.01,3,3,2,332,Platunum customer
103,116,4,895.4499999999999,1,1,1,111,Brownz customer
104,64,7,3112.8000000000006,2,3,3,233,Gold customer
105,89,4,3475.04,1,1,3,113,Silver customer
106,1,3,2513.69,4,1,2,412,Diamond Customer
107,81,4,2343.9700000000003,2,1,2,212,Gold customer
112,47,6,5742.1900000000005,2,3,4,234,Gold customer
114,70,4,2195.2599999999998,2,1,2,212,Gold customer
115,14,8,3135.87,4,4,3,443,Diamond Customer
116,12,8,2447.54,4,4,2,442,Diamond Customer
117,5,10,6917.34,4,4,4,444,Diamond Customer
120,129,2,869.3200000000003,1,1,1,111,Brownz customer
121,111,4,2892.09,1,1,3,113,Silver customer
122,8,5,2695.2200000000003,4,2,2,422,Diamond Customer
123,191,4,3245.75,1,1,3,113,Silver customer
124,2,7,4054.2499999999995,4,3,3,433,Diamond Customer
125,83,10,3345.01,2,4,3,243,Gold customer
126,11,3,1096.46,4,1,1,411,Diamond Customer
127,23,10,3993.710000000001,3,4,3,343,Platunum customer
128,137,4,2193.0600000000004,1,1,2,112,Silver customer
129,178,4,2753.7499999999995,1,1,2,112,Silver customer
130,76,2,1779.58,2,1,1,211,Gold customer
131,205,6,5494.910000000001,1,3,4,134,Silver customer
132,7,6,2780.7200000000003,4,3,2,432,Diamond Customer
133,26,5,803.89,3,2,1,321,Platunum customer
134,14,6,2946.42,4,3,3,433,Diamond Customer
135,115,7,4549.5,1,3,4,134,Silver customer
136,20,8,3543.2,3,4,3,343,Platunum customer
137,27,5,1496.4499999999998,3,2,1,321,Platunum customer
138,64,7,3377.12,2,3,3,233,Gold customer
139,26,9,5161.44,3,4,4,344,Platunum customer
140,3,6,2699.8999999999996,4,3,2,432,Diamond Customer
141,159,3,2138.3500000000004,1,1,2,112,Silver customer
142,4,11,3917.3399999999992,4,4,3,443,Diamond Customer
143,13,4,2474.77,4,1,2,412,Diamond Customer
145,28,7,3140.3,3,3,3,333,Platunum customer
146,194,2,217.05999999999995,1,1,1,111,Brownz customer
147,34,6,5034.16,3,3,4,334,Platunum customer
149,18,4,1680.6599999999999,4,1,1,411,Diamond Customer
150,75,4,2446.51,2,1,2,212,Gold customer
151,0,7,5665.410000000001,4,3,4,434,Diamond Customer
152,158,2,1966.88,1,1,2,112,Silver customer
153,64,7,5522.51,2,3,4,234,Gold customer
155,8,3,1088.42,4,1,1,411,Diamond Customer
156,16,5,3095.3699999999994,4,2,3,423,Diamond Customer
157,135,3,294.0099999999999,1,1,1,111,Brownz customer
159,66,6,2935.3700000000003,2,3,3,233,Gold customer
160,93,2,2614.1600000000003,1,1,2,112,Silver customer
162,98,3,1329.61,1,1,1,111,Brownz customer
163,114,2,1101.28,1,1,1,111,Brownz customer
164,198,3,786.1400000000001,1,1,1,111,Brownz customer
165,8,8,6107.040000000001,4,4,4,444,Diamond Customer
166,63,7,4063.6599999999994,2,3,3,233,Gold customer
169,61,3,696.26,2,1,1,211,Gold customer
170,234,3,1779.68,1,1,1,111,Brownz customer
171,18,8,4833.139999999999,4,4,4,444,Diamond Customer
172,11,7,2348.66,4,3,2,432,Diamond Customer
173,15,9,6549.509999999999,4,4,4,444,Diamond Customer
174,11,10,7628.24,4,4,4,444,Diamond Customer
175,64,5,2170.54,2,2,2,222,Gold customer
176,22,4,3025.5600000000004,3,1,3,313,Platunum customer
177,37,12,4108.6,3,4,4,344,Platunum customer
